,id,name
0,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits
1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
2,37i9dQZF1DX1lVhptIYRda,Hot Country
3,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
4,37i9dQZF1DX4JAvHpjipBk,New Music Friday
5,37i9dQZF1DX4dyzvuaRJ0n,mint
6,37i9dQZF1DX4SBhb3fqCJd,Are & Be
7,37i9dQZF1DWXRqgorJj26U,Rock Classics
8,37i9dQZF1DX4sWSpwq3LiO,Peaceful Piano
9,37i9dQZF1DXcF6B6QPhFDv,Rock This
10,37i9dQZF1DWXJfnUiYjUKT,New Music Friday
11,37i9dQZF1DXcRXFNfZr7Tp,TGIF
12,37i9dQZF1DX4o1oenSJRJd,All Out 00s
13,37i9dQZF1DXbTxeAdrVG2l,All Out 90s
14,37i9dQZF1DX4UtSsGT1Sbe,All Out 80s
15,37i9dQZF1DWTJ7xPn4vNaz,All Out 70s
16,37i9dQZF1DXaKIA8E7WcJj,All Out 60s
17,37i9dQZF1DWSV3Tk4GO2fq,All Out 50s
18,37i9dQZF1DWTwnEm1IYyoj,Soft Pop Hits
19,37i9dQZF1DX2A29LI7xHn1,Signed XOXO
20,37i9dQZF1DX2RxBh64BHjQ,Most Necessary
21,37i9dQZF1DWVA1Gq4XHa6U,Gold School
22,37i9dQZF1DWY4xHQp97fN6,Get Turnt
23,37i9dQZF1DWX3387IZmjNa,"Love, Sex, & Water"
24,37i9dQZF1DWYkaDif7Ztbp,African Heat
25,37i9dQZF1DX5hR0J49CmXC,Mind Right
26,37i9dQZF1DXan38dNVDdl4,Dancehall Official
27,37i9dQZF1DWSvKsRPPnv5o,Cali Fire
28,37i9dQZF1DWUVpAXiEPK8P,Power Workout
29,37i9dQZF1DX0Tkc6ltcBfU,The Realest Down South
30,37i9dQZF1DX1YPTAhwehsC,State of Mind
31,37i9dQZF1DWTggY0yqBxES,Alternative Hip Hop
32,37i9dQZF1DX0HRj9P7NxeE,Workout Twerkout
33,37i9dQZF1DWT6SJaitNDax,We Everywhere
34,37i9dQZF1DX2r0FByV5U4C,Black History Salute
35,37i9dQZF1DXaKctwWdt4be,Behind The Lyrics: Hip Hop
36,37i9dQZF1DWT2jS7NwYPVI,New Noise
37,37i9dQZF1DX82GYcclJ3Ug,The New Alt
38,37i9dQZF1DX49jUV2NfGku,Rock Solid
39,37i9dQZF1DX1Jg9KZ76Rr9,Rock This: Best of 2017
40,37i9dQZF1DX8FwnYE6PRvL,Rock Party
41,37i9dQZF1DX6mvEU1S6INL,You & Me
42,37i9dQZF1DX2SK4ytI2KAZ,It's ALT Good!
43,37i9dQZF1DWZkHEX2YHpDV,The Scene
44,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard
45,37i9dQZF1DXdXKIWnpyigm,This Is Ryan Adams
46,37i9dQZF1DX2rBR3X9E86S,This Is The Black Keys
47,37i9dQZF1DWUlZhYdX0uqM,This Is Tom Petty
48,37i9dQZF1DX82CY3GzF2m6,This Is Nirvana
49,37i9dQZF1DWWc7UGhP4Mpw,This Is Ramones
50,37i9dQZF1DWVPJN9etkrEa,This Is Green Day
51,37i9dQZF1DXbj9Ksq4BAdj,This Is Metallica
52,37i9dQZF1DXcGV9sg8bMdx,This Is Jane's Addiction
53,37i9dQZF1DWXupFIUw7TOC,This Is Oasis
54,37i9dQZF1DX5L9gRaHajqj,This Is KISS
55,37i9dQZF1DWY6vTWIdZ54A,Dirty Rock
56,37i9dQZF1DX5OUjSS1OMgV,One More Rep
57,37i9dQZF1DX1rVvRgjX59F,90s Rock Anthems
58,37i9dQZF1DX6ALfRKlHn1t,Soak Up the Sun
59,37i9dQZF1DXa9xHlDa5fc6,License To Chill
60,37i9dQZF1DX2aneNMeYHQ8,Rockin' Vibes
61,37i9dQZF1DWXs1L3AC0Xio,Rock Ballads
62,37i9dQZF1DXa6YOhGMjjgx,Totally Alt
63,37i9dQZF1DXcfZ6moR6J0G,Nu Metal Generation
64,37i9dQZF1DWXMg4uP5o3dm,Alternative Beats
65,37i9dQZF1DX2S9rTKTX6JP,Rock Covers
66,37i9dQZF1DX6ujZpAN0v9r,Dreamy & Distorted
67,37i9dQZF1DX0wiundViT27,Rock Me UP!
68,37i9dQZF1DX9Mqxt6NLTDY,All Things Post
69,37i9dQZF1DX9wa6XirBPv8,Emo Forever
70,37i9dQZF1DXaGNG7NmtmZv,Classic Hardcore
71,37i9dQZF1DWZjmJmeiazwd,Rock Gaming
72,37i9dQZF1DX8S0uQvJ4gaa,New Boots
73,37i9dQZF1DX5mB2C8gBeUM,Wild Country
74,37i9dQZF1DWYnwbYQ5HnZU,Country Gold
75,37i9dQZF1DX3Ee0ngF5ZVQ,Texas Music Now
76,37i9dQZF1DWYiR2Uqcon0X,Country Coffeehouse
77,37i9dQZF1DWW7RgkOJG32Y,Breakout Country
78,37i9dQZF1DX8WMG8VPSOJC,Country Kind of Love
79,37i9dQZF1DWXi7h4mmmkzD,Country Nights
80,37i9dQZF1DWTkxQvqMy4WW,Chillin' on a Dirt Road
81,37i9dQZF1DWU2LcZVHsTdv,Country by the Grace of God
82,37i9dQZF1DWU1xHgjMaSpW,This Is: Merle Haggard
83,37i9dQZF1DX1kw8OX1mNoI,This Is:  Johnny Cash
84,64FJj5HaUHR6KrKSsU8KPx,From Beginning To End:  Johnny Cash
85,37i9dQZF1DWVpjAJGB70vU,90's Country
86,37i9dQZF1DX24Kh15JFQJ0,New Traditions:  Country Heroes
87,37i9dQZF1DXbDjX0hus3Iu,Southern Rock 101
88,37i9dQZF1DXc0fQ4sGOnVJ,Field Party
89,0NfjMqrzcGKVsbYZmhf4Md,Classic Honky Tonk
90,37i9dQZF1DWWH0izG4erma,Country Rocks
91,37i9dQZF1DWUzFXarNiofw,The Newness
92,37i9dQZF1DX4y8h9WqDPAE,Channel X
93,37i9dQZF1DWXnexX7CktaI,Gold Edition
94,37i9dQZF1DWSfMe9z89s9B,Alternative R&B
95,37i9dQZF1DX2UgsUIg75Vg,Chilled R&B
96,37i9dQZF1DX2Ma8k80RiMN,The Sweet Suite
97,37i9dQZF1DWY12BqhkMFW2,Soul Revived
98,37i9dQZF1DX62Nfha2yFhL,Soul Lounge
99,37i9dQZF1DWVEvzGeX3eRs,'90s Baby Makers
100,37i9dQZF1DWTJNOeepZTGy,Wine & Dine
101,37i9dQZF1DX7OIddoQVdRt,Spread the Gospel
102,37i9dQZF1DX70TzPK5buVf,Funk Outta Here
103,37i9dQZF1DX6VDO8a6cQME,I Love My '90s R&B
104,37i9dQZF1DX0H8hDpv38Ju,’80s Jam Session
105,37i9dQZF1DWYmmr74INQlb,I Love My '00s R&B
106,37i9dQZF1DWSIO2QWRavWZ,Queen
107,37i9dQZF1DWSRMdeGCgprt,The Rhythm
108,37i9dQZF1DX8tZsk68tuDw,Dance Rising
109,37i9dQZF1DXcZDD7cfEKhW,Pop Remix
110,37i9dQZF1DX0BcQWzuB7ZO,Dance Hits
111,37i9dQZF1DXa8NOEUWPn9W,Housewerk
112,37i9dQZF1DXa41CMuUARjl,Friday Cratediggers
113,37i9dQZF1DX0hvSv9Rf41p,Bass Arcade
114,37i9dQZF1DWXLeA8Omikj7,Brain Food
115,37i9dQZF1DX0r3x8OtiwEM,Lowkey Tech
116,37i9dQZF1DX6VdMW310YC7,Chill Tracks
117,37i9dQZF1DX8a1tdzq5tbM,Dance Classics
118,37i9dQZF1DX5GiUwx1edLZ,mint Acoustic
119,37i9dQZF1DXdgz8ZB7c2CP,Creamy
120,37i9dQZF1DXaXB8fQg7xif,Dance Party
121,37i9dQZF1DX2TRYkJECvfC,Deep House Relax
122,37i9dQZF1DX32NsLKyzScr,Power Hour
123,37i9dQZF1DWTfrr8pte1rT,Emotron
124,37i9dQZF1DX0pH2SQMRXnC,Hardstyle Bangers
125,37i9dQZF1DWSf2RDTDayIx,Happy Summer Beats
126,37i9dQZF1DX4eRPd9frC1m,Hype
