,frequency,id,artist
0,125,3TVXtAsR1Inumwj472S9r4,Drake
1,116,1uNFoZAHBGtllmzznpCI3s,Justin Bieber
2,109,3WrFJ7ztbogyGnTHbHJFl2,The Beatles
3,108,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd
4,102,5K4W6rqBFWDnAN6FQUkS6x,Kanye West
5,72,4gzpq5DPGxSnKTe4SA8HAU,Coldplay
6,71,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran
7,63,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson
8,60,0du5cEVh5yTK9QJze8zA0C,Bruno Mars
9,58,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat
10,58,5pKCCKE2ajJHZ9KAiaK11H,Rihanna
11,50,4AK6F7OLvEQ5QYCBNiQWHq,One Direction
12,46,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa
13,45,6LuN9FCkKOj5PcnpouEgny,Khalid
14,37,3PhoLpVuITZKcymswpck5b,Elton John
15,35,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta
16,34,4dpARuHxo51G3z768sgnrY,Adele
17,33,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac
18,33,0hEurMDQu99nJRq8pTxO14,John Mayer
19,32,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
20,32,4sTQVOfp9vEMCemLw50sbu,Galantis
21,30,7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder
22,29,2wY79sveU1sp5g7SokKOiI,Sam Smith
23,27,7tYKF4w9nC0nq9CsPZTHyP,SZA
24,27,50co4Is1HCEo8bhOyUWKpn,Young Thug
25,24,5fMUXHkw8R8eOP2RNVYEZX,Diplo
26,23,4r63FhuTkUYltbVAg5TQnk,DaBaby
27,23,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish
28,23,7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign
29,23,7CajNmpbOovFoOoasH2HaY,Calvin Harris
30,22,56oDRnqbIiwx4mymNEv7dS,Lizzo
31,22,4ETSs924pXMzjIeD6E9b4u,Surfaces
32,21,3hcs9uc56yIGFCSy9leWe7,Lil Durk
33,21,5f7VJjfbwm532GiveGC0ZK,Lil Baby
34,21,6KImCVD70vtIoJWnq6nGn3,Harry Styles
35,20,4Gso3d4CscCijv0lmajZWs,Don Toliver
36,20,2hlmm7s2ICUX0LVIhVFlZQ,Gunna
37,19,2LIk90788K0zvyj2JJVwkJ,Jack Harlow
38,19,49tQo2QULno7gxHutgccqF,LANY
39,18,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes
40,18,5he5w2lnU9x7JFhnwcekXX,Skrillex
41,18,77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates
42,18,45dkTj5sMRSjrmBSBeiHym,Tate McRae
43,18,5KKpBU5eC2tJDzf0wmlRp2,RAYE
44,17,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X
45,17,4kYSro6naA4h99UJvo89HB,Cardi B
46,17,4fxd5Ee7UefO4CUXgwJ7IP,Giveon
47,17,181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion
48,17,6DgP9otnZw5z6daOntINxp,Joel Corry
49,16,246dkjvS1zLTtiykXe5h60,Post Malone
50,16,23fqKkggKUBHNkbKtXEls4,Kygo
51,16,4EzkuveR9pLvDVFNx6foYD,James Bay
52,16,4SqTiwOEdYrNayaGMkc7ia,LÉON
53,16,5nki7yRhxgM509M5ADlN1p,Oliver Heldens
54,16,06HL4z0CvFAxyc27GXpf02,Taylor Swift
55,15,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI
56,15,20wkVLutqVOYrc0kxFs7rA,Daniel Caesar
