,followers,id,Unnamed: 0,name
0,26075585,37i9dQZF1DXcBWIGoYBM5M,0,Today's Top Hits
1,15125464,37i9dQZEVXbMDoHDwVN2tF,634,Global Top 50
2,12740687,37i9dQZF1DX0XUsuxWHRQd,1,RapCaviar
3,10591072,37i9dQZF1DX10zKzsJ2jva,3,¡Viva Latino!
4,9269965,37i9dQZF1DWWMOmoXKqHTD,815,Songs to Sing in the Car
5,8169798,37i9dQZF1DX4o1oenSJRJd,12,All Out 00s
6,7623238,37i9dQZF1DWXRqgorJj26U,7,Rock Classics
7,7094413,37i9dQZF1DX4UtSsGT1Sbe,14,All Out 80s
8,5886334,37i9dQZF1DWY4xHQp97fN6,22,Get Turnt
9,5825450,37i9dQZF1DX4sWSpwq3LiO,8,Peaceful Piano
10,5744366,37i9dQZF1DX1lVhptIYRda,2,Hot Country
11,5672073,37i9dQZF1DX4WYpdgoIcn6,430,Chill Hits
12,5662071,37i9dQZF1DXbTxeAdrVG2l,13,All Out 90s
13,5583131,37i9dQZF1DX4dyzvuaRJ0n,5,mint
14,5493318,37i9dQZF1DWSqmBTGDYngZ,1337,Songs to Sing in the Shower
15,5283002,37i9dQZF1DXdPec7aLTmlC,1358,Happy Hits!
16,5207423,37i9dQZF1DX4SBhb3fqCJd,6,Are & Be
17,5032356,37i9dQZF1DX0s5kDXi1oC5,723,Hit Rewind
18,4877860,37i9dQZF1DX3rxVfibe1L0,722,Mood Booster
19,4829965,37i9dQZF1DXdxcBWuJkbcy,1323,Motivation Mix
20,4601053,37i9dQZF1DX7KNKjOK0o75,1031,Have a Great Day!
21,4555590,37i9dQZF1DXcF6B6QPhFDv,9,Rock This
22,4476155,37i9dQZF1DWWxPM4nWdhyI,248,This Is Ed Sheeran
23,4433279,37i9dQZF1DXbYM3nMM0oPk,719,Mega Hit Mix
24,4032246,37i9dQZF1DXaXB8fQg7xif,120,Dance Party
25,4015091,37i9dQZF1DWTwnEm1IYyoj,18,Soft Pop Hits
26,4012268,37i9dQZF1DX1N5uK98ms5p,728,Teen Party
27,3804380,37i9dQZF1DWZd79rJ6a7lp,1270,Sleep
28,3759972,37i9dQZF1DX6ziVCJnEm59,826,Your Favorite Coffeehouse
29,3755130,37i9dQZF1DX1rVvRgjX59F,57,90s Rock Anthems
30,3718403,37i9dQZF1DWU0ScTcjJBdj,814,Relax & Unwind
31,3687267,37i9dQZF1DX4JAvHpjipBk,4,New Music Friday
32,3682202,37i9dQZF1DX70RN3TfWWJh,757,Workout
33,3594262,37i9dQZF1DWTJ7xPn4vNaz,15,All Out 70s
34,3594166,37i9dQZF1DWXmlLSKkfdAk,402,Acoustic Covers
35,3434202,37i9dQZF1DWXLeA8Omikj7,114,Brain Food
36,3359276,37i9dQZF1DWUH2AzNQzWua,789,Acoustic Hits: Oldies but Goodies
37,3276320,37i9dQZF1DX50QitC6Oqtn,1428,Love Pop
38,3253600,37i9dQZEVXbLRQDuF5jeBp,1227,United States Top 50
39,3244288,37i9dQZF1DWZeKCadgRdKQ,1027,Deep Focus
40,3181043,37i9dQZF1DWUVpAXiEPK8P,28,Power Workout
41,3164743,37i9dQZF1DX9wC1KY45plY,1296,Classic Road Trip Songs
